Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
17.81,68.12,0,0,16.19,25.29,18.31,76.47,44.1,67.32,0,171.45,0,0,577.41,0
16.14,74.75,0,0,17.2,25.96,17.25,72.65,41.52,72.46,41.67,132,0,65.46,708.69,0
16.1,75.88,0,0,18.76,25.9,15.07,67.54,41.96,82.54,101.65,118.76,0,329.89,595.7,0
16.1,78.25,0,0,21.43,26.08,15.21,56.74,42.34,80.86,151.99,69.99,0,436.51,582.3,0
16.16,77.75,0,0,23.37,25.84,12.91,50.2,42.92,93.52,187.61,34.75,0,486.97,329.68,0
16.26,76.38,0,0,25.27,25.01,12.38,43.76,45.94,93.11,223.09,0,0,462.04,0,0
16.36,75.38,0,0,25.53,25.48,12.31,43.36,44.8,91.48,174.54,0,0,587.8,0,0
17.02,73.75,41.06,64.5,25.82,23.95,13.22,41.95,48.54,83.54,130.69,0,36.2,701.65,0,16.6
19.02,66.12,103.88,337.12,25.79,23.91,13.02,42.29,46.92,85.05,117.85,0,117.49,591.13,0,64.44
21.38,57,151.31,434.56,25.88,22.94,12.83,42.98,48.91,87.86,68.99,0,163.71,574.03,0,17.89
23.51,49.62,189.81,492.69,25.76,21.16,15.08,43.15,53.52,76.96,34.56,0,231.55,327.93,0,52.17
25.24,43.88,222.5,460.81,25.28,21.21,16.5,45.09,52.18,67.91,0,0,293.11,0,0,169.46
25.74,42.62,177.62,598.19,25.17,18.93,16.55,45.84,64.6,65.28,0,0,274.66,0,0,45.56
25.7,42.38,129.38,694.62,24.03,17.52,14.65,48.27,71.1,72.34,0,0,227.43,0,0,35.79
25.7,42.62,116.94,586.56,23.58,15.57,15.44,48.09,79.77,63.81,0,0,193.77,0,0,92.54
25.7,43.62,68,565.75,22.7,15.02,15.96,49.76,81.99,57.91,0,0,123.73,0,0,214.35
25.7,43.38,34.38,326.19,21.42,13.44,15.71,52.57,90.2,56.82,0,0,61.86,0,0,268.97
25.51,44.25,0,0,20.99,12.78,13.44,53.03,90.55,64.9,0,0,0,0,0,0
24.9,46.88,0,0,19.24,12.39,14,63.24,90.99,59.84,0,0,0,0,0,0
24.1,48,0,0,17.65,12.75,12.37,70.43,86.52,65.99,0,35.07,0,0,16.08,0
23.3,49.25,0,0,15.82,13.09,11.23,78.39,84.65,72.67,0,118.06,0,0,64.75,0
22.5,50.62,0,0,14.92,13.39,9.96,82.55,84.62,77.56,0,170.8,0,0,18.67,0
21.64,51.62,0,0,13.71,14.73,9.25,88.54,78.98,79.09,0,226.06,0,0,50.93,0
20.8,53.88,0,0,12.99,15.8,8.82,89.28,71.65,78.89,0,279.9,0,0,161.83,0
19.5,61.88,0,0,12.43,16.07,8.37,90.75,67.7,81.06,0,265.8,0,0,44.09,0
17.77,69.75,0,0,12.52,15.19,8.84,88.01,69.73,81.1,34.5,237.02,0,15.82,37.3,0
16.04,77,0,0,13.12,15.54,10.09,84.45,63.35,74.79,118.34,195.23,0,64.91,93.24,0
