Name,Translation
गणपतराम,ganpatram
सूरजभान,surajbhan
ज्ञानु,gyanu
नन्हे,nanhe
अलीजान,alijan
लक्ष्मी,lakshmi
सौरव,sourav
मरियम,maryam
कन्या,kanya
करीशन,karishan
मंजीव,manjiv
ईशान,ishaan
जोया,joyaa
मोहन,mohan
दवेन्द्र,davender
मितलेश,mitlesh
वीजिता,veejita
जाहिद,jahid
सीता,sita
विकाश,vikash
निबो,nibo
हरणा,harana
रजनीश,rajnish
नूरजामा,noorjama
नीलाद्रि,niladri
साहानज,sahanaj
प्यारे,pyare
सोहनपाल,sohanpal
गुलजार,guljar
हेमवंती,hemavanti
भनोट,bhanot
कीमत,kimat
आराधना,aradhana
लोकेन्द्र,lokender
सजरुद्दीन,sajruddin
दुर्ग,durg
दीलीप,deelip
मोतोलाल,motolal
चन्नू,channu
तीना,teena
नाथिया,nathiya
बैबी,babby
पर्तिमा,partima
आरिफा,arifa
नीतम,nitam
मेना,mena
जलसिंह,jalsingh
ईमा,iema
शाहीन,shahin
माया,maya
परीति,pareeti
आर्जिना,arjina
सतनाम,satnam
फरहा,farha
ज्ञात्री,gytri
बलवीर,balveer
सहजल,sehjal
आनंदी,anandi
महबूब,mahboob
संतु,santu
प्रिंक्या,prinkya
शिलाप,shilap
एका,eka
मुखर्जी,mukherjee
रहमान,rehman
सुमेंदर,sumender
चरण,chran
आसगर,asagar
सुहालिया,suhaliya
सुखविन्दर,sukhvinder
जसवीर,jasveer
सुकुमार,sukumar
तारीक,tariq
डोरीलाल,dorilal
पायल,payal
प्रभजीत,prabhjeet
बाबालु,babalu
वीपिंचंद,veepinchand
कैलाशी,kailashi
जयकुमार,jaykumar
सान्वी,sanvi
लिलाकी,lilaki
अभिनव,abhinav
मलकीत,malkeet
गंधर,gandhar
ह्रितिक,hrithik
सरल,saral
अभिनाश,abhinash
बिनपाल,binpal
शबीना,shabina
केशवे,keshave
आमिर,aamir
सुशैल,sushail
रजनीकांत,rajinikanth
गुरुबक्ष,gurubaksh
हुसैनप्रीत,husainpreet
चंदकोर,chandkor
विनीता,vineeta
सानू,saanu
दयाल,dayal
निष्ठा,nishtha
लक्षय,lakshay
मीला,meela
सरकार,sarkar
नीहा,neaha
प्र्यंका,pryanka
रत्तन,rattan
सार्थक,sarthak
रामराती,ramrati
नैतिक,naitik
रिंकल,rinkal
अलताफ,altaf
शिवराम,shivram
सुदेश,sudesh
अमरजीत,amrjeet
सुनेता,suneta
कलान,kalan
भोपाल,bhopal
जगदीश,jagadish
आरव,aarav
प्रणिता,pranita
रागिनी,ragini
श्रावणी,shravani
बंदना,bandana
सुभेष,subesh
पारशु,parashu
रिचा,richa
बेचन,bechan
योशोदा,yoshoda
एल्ड्रो,eldro
दर्शना,darshna
बलीराम,baliram
प्रिजु,priju
सुद्मा,sudma
श्याम,shyam
गुल्फ़सल,gulfsal
युवान,yuvan
रामभजन,rambhajan
नगमा,nagma
कृष्मा,krishma
आस्तो,aasto
अभिसेख,abhisekh
प्रीषा,prisha
दीक्षा,deeksha
सफली,safali
बीरू,beeru
शिबू,shibu
चित्रो,chitro
निरुत्मा,nirutma
महविश,mahvish
प्रीती,prity
विपेन्द्र,vipendra
शागुन,shagun
मुनबुरा,munbura
सहबूब,sehboob
अंजा,anja
खीमा,khima
वरिषा,varisha
संदीप,sandip
वीरभान,veerbhan
रोशनारा,roshanara
बीर,bir
चम्मा,chama
रीता,reeta
नफीसा,nafeesa
इक़रार,iqarar
युधबीर,yudhbir
प्रयातन,prayatan
हासिर,hasir
आचिन,achin
शिशुल,shishul
उगन्ता,uganta
जमील,jamil
राममूर्ति,rammurti
गलिया,galiya
संसद,samsad
गुड्डू,guddu
राहिल,rahil
सिफा,sifa
सोन्यी,sonyi
मुस्कान,muskan
वर्मा,verma
धालचंद,dhalchand
निरोषा,nirosha
सोयम,soyam
आश्सिश,ashsish
घन्स्याम,ghansyam
पत्रस,patras
अमनजीत,amanjeet
सहदेव,sahdev
अंजली,anjli
अयूब,ayube
हेमलि,hemali
धृति,dhriti
शुगर,sugar
उमेशा,umesha
जिया,jiya
किर्पा,kirpa
ननवीत,nanveet
आलोक,al0k
निराज,niraj
मातुल,matul
नंदराम,nandram
सोबित,sobit
प्रेमला,premla
मोहिनुद्दीन,mohinuddin
संध्या,sandhaya
हरविंदर,harvinder
राघव,raghav
मोहम्मद,mohmmad
अमेरिका,amrika
शाकिर,shakir
जादू,jadu
शुष्री,shushree
प्रणव,pranav
अक्तारी,akthari
सीशपाल,sishpal
शरंजीत,sharanjeet
बृजलाल,brijlal
सर्वेश,sarves
आनिक,aanik
सहजा,sahaja
ईशिता,ishita
रिक्केंची,rikkenchi
चंदेर,chander
जयप्रकेश,jaiprkesh
झोरा,jhora
शोभा,shobha
नुरसा,nursa
केदारमल,kedarmal
नवजात,navjat
दया,daya
आलमा,alma
अमरीन,amreen
छवि,chhavi
ओली,oli
उम्लेश,umlesh
सबीना,sabeena
हाशरत,hashrat
अमीना,amina
रूपनारायण,roopnarayan
संजना,snjana
बलकिशन,balkishan
कृष्णल,krishnal
वैष्णवी,vaishnavi
हरिनाथ,harinath
प्रीतिभा,pritibha
अरीन,areen
नबीला,nabila
सरजु,sarju
रघुनंदन,raghunandan
कम्ता,kamta
बनिया,baniya
बदनाथ,badnath
प्रतीक,prateek
रॉकी,rocky
गुरदर्शन,gurdarshan
अन्बु,anbu
खुभू,khubhu
कंचन,kanchan
अनुपमा,anupama
माही,maahi
सुभाग्य,subhagya
बिन्नू,binnu
घनश्याम,ghanshyam
समयद्दीन,samayddin
धुरव,dhurav
शोहन,shohan
कृषेन,krishen
नंकी,nanki
शौलाल,shaulal
