ProbeName	p-value
A_24_P66027	0.5679220607387407
A_23_P212522	0.979588105059847
A_24_P934473	0.44637048147138414
A_24_P9671	0.8469668898346409
A_24_P801451	0.8620190900343228
A_32_P30710	0.8718908635390006
A_32_P86028	0.7932244123372687
A_24_P470079	0.2491812373719456
A_23_P65830	0.7002867004489987
A_23_P109143	0.9907574680310958
A_24_P932757	0.3790212578435903
A_24_P835500	0.6903507584754045
A_23_P54340	0.22161233536735303
A_23_P67555	0.731964388266932
A_24_P286412	0.8960993745990489
A_24_P229084	0.6569813425728017
A_23_P202696	0.9394125011483629
A_24_P927716	0.26257876840690614
A_23_P124837	0.21291640551896482
A_24_P329635	0.9649603030412984
A_23_P137931	0.2716370927748367
A_23_P203819	0.809509448308928
A_24_P687	0.7277874894277132
A_23_P253052	0.6519737774934341
A_23_P201647	0.49256015472305026
A_23_P146584	0.9328838251980947
A_24_P289607	0.8709176146453264
A_23_P77000	0.3296286105763562
A_23_P111020	0.026642703045811438
A_32_P103558	0.5337648535518402
A_32_P22191	0.42817814793633824
A_24_P253251	0.9237994784875843
A_23_P391894	0.3231193651624187
A_24_P209571	0.6145015349461611
A_24_P148907	0.9489044651624561
A_24_P6825	0.5585520084965545
A_23_P149281	0.3278192312920366
A_23_P104098	0.5115988631379971
A_24_P151920	0.7714316273947142
A_24_P252223	0.5579975607942208
A_23_P217015	0.7337234774383196
A_23_P135381	0.8755062221621835
A_23_P151294	0.15459861869408392
A_23_P215419	0.29832501910671183
A_23_P145874	0.5096656206273626
A_23_P127662	0.9367704544458476
A_23_P253029	0.9441821085364115
A_24_P298846	0.32319298066999647
A_23_P141315	0.3772773933817051
A_23_P87351	0.9403071451894988
A_23_P155677	0.8121927907799793
A_24_P131173	0.07247877665725289
A_32_P76091	0.8712749635097525
A_24_P276932	0.8036857824038133
A_24_P838448	0.6754474770574264
A_23_P337746	0.4105461694074205
A_23_P216689	0.8671394907286518
A_24_P208897	0.46014158738135136
A_24_P42557	0.37452131361448215
A_23_P93295	0.7357605033927184
A_24_P926770	0.011500401135567962
A_23_P67355	0.4541055362169891
A_23_P48487	0.36392025159155206
A_23_P204947	0.5368101668367415
A_23_P351328	0.5834617971907035
A_23_P129829	0.8721743347336538
A_23_P142688	0.2301634664573615
A_23_P53015	0.8427072574081754
A_23_P56855	0.6271019026260871
A_24_P212086	0.5040923706407119
A_24_P373475	0.3689242543160043
A_23_P107597	0.6132960693530688
A_24_P394940	0.5851159458035957
A_23_P152107	0.9887398731207502
A_23_P97584	0.6223167973987367
A_32_P146113	0.5342757453380476
A_24_P305467	0.905179232584715
A_23_P426140	0.6717591013224545
A_24_P356721	0.8248800306770847
A_23_P356755	0.9808210787777263
A_23_P379550	0.337933541367773
A_23_P345710	0.6701486257964975
A_24_P343233	0.4261487800329866
A_23_P408787	0.5239481526169294
A_23_P344655	0.35473179836052404
A_23_P350678	0.29997469016447725
A_23_P397933	0.7592353983436197
A_23_P145024	0.05280947163784428
A_24_P104115	0.5956409124427664
A_23_P433829	0.3384020767261725
A_23_P110846	0.8908356275935582
A_23_P110699	0.4570033214347541
A_23_P60811	0.28659062335869495
A_23_P112327	0.2686508025211453
A_24_P344890	0.7537997602976759
A_23_P111381	0.8480047838427167
A_23_P48414	0.615224263303741
A_24_P405552	0.4794573382106738
A_23_P85015	0.6123956051178887
A_23_P215604	0.8108972508212272
A_23_P369815	0.049527503372795496
A_32_P174908	0.6224650484921506
A_23_P47155	0.7349272972386109
A_23_P66211	0.14431721495933159
A_23_P14986	0.19964602275455196
A_23_P146783	0.1320866583548949
A_24_P236008	0.7990264241916085
A_24_P228611	0.2973048861103713
A_24_P11900	0.341153373399819
A_23_P419038	0.3722601261460935
A_23_P165078	0.5499853649395556
A_23_P104484	0.4221240393757607
A_23_P252145	0.7826502942955305
A_24_P363134	0.7543861031023217
A_23_P315364	0.24163730430977987
A_23_P200425	0.6836176153026553
A_32_P93996	0.5594001892092606
A_23_P384825	0.8643430646471404
A_23_P155830	0.37876084957182343
A_23_P63167	0.5430895820391941
A_23_P75973	0.4896198748239108
A_24_P209204	0.7080105768150278
A_32_P213091	0.2918934455525611
A_24_P119002	0.7622138413362542
A_24_P161086	0.3487074321076893
